,Player,Goals
0,Cristiano Ronaldo,140
1,Lionel Messi,125
2,Robert Lewandowski,(13)
3,Karim Benzema,(12)
4,Raúl González,71
5,Ruud van Nistelrooy,56
6,Thomas Müller,52
7,Thierry Henry,50
8,Zlatan Ibrahimović,48
9,Andriy Shevchenko,48
10,Filippo Inzaghi,46
11,Didier Drogba,44
12,Alessandro Del Piero,42
13,Sergio Agüero,41
14,Neymar,41
15,Mohamed Salah,36
16,Edinson Cavani,35
17,Kylian Mbappé,33
18,Fernando Morientes,33
19,Arjen Robben,31
20,Samuel Eto’o,30
21,Kaká,30
22,Wayne Rooney,30
23,Antoine Griezmann,29
24,Patrick Kluivert,29
25,Roy Makaay,29
26,David Trezeguet,29
27,Ryan Giggs,28
28,Rivaldo,27
29,Luis Suárez,27
30,Mario Gomez,26
31,Jardel,25
32,Hernán Crespo,25
33,Giovane Elber,25
34,Edin Džeko,25
35,Robin van Persie,25
36,Gonzalo Higuaín,24
37,Luís Figo,24
38,Paul Scholes,24
39,Raheem Sterling,24
40,Erling Haaland,23
41,Frank Lampard,23
42,Jari Litmanen,23
43,Álvaro Morata,23
44,Ángel Di María,22
45,Sadio Mané,22
46,Steven Gerrard,21
47,Luiz Adriano,21
48,Mario Mandžukić,21
49,Claudio Pizarro,21
50,Marco Reus,21
51,Nicolas Anelka,20
52,Gareth Bale,20
53,Cesc Fàbregas,20
54,Roberto Firmino,20
55,Harry Kane,20
56,Serhiy Rebrov,20
57,Marco Simone,20
58,Fernando Torres,20
59,Julio Cruz,19
60,Gabriel Jesus,19
61,Lisandro,19
62,Luis Enrique,19
63,Ole Gunnar Solskjær,19
64,Willian,18
65,John Carew,18
66,Andy Cole,18
67,Ronaldinho,18
68,Paulo Dybala,18
69,Olivier Giroud,18
70,Lucho González,18
71,Juninho Pernambucano,18
72,Franck Ribéry,18
73,Javier Saviola,18
74,Heung-Min Son,17
75,Francesco Totti,17
76,Hulk,17
77,Michael Ballack,16
78,David Beckham,16
79,Roberto Carlos,16
80,Guti,16
81,Riyad Mahrez,16
82,Dries Mertens,16
83,Gerard Piqué,16
84,Pedro Rodríguez,16
85,Leroy Sané,16
86,Roberto Soldado,16
87,Pierre-Emerick Aubameyang,15
88,Seydou Doumbia,15
89,Iván Helguera,15
90,Simone Inzaghi,15
91,Romelu Lukaku,15
92,Pavel Nedvěd,15
93,Sergio Ramos,15
94,Diego Tristán,15
95,Arturo Vidal,15
96,Theo Walcott,15
97,Timo Werner,15
98,Sylvain Wiltord,15
99,Vincent Aboubakar,14
100,Javier Hernández,14
101,Klaas Jan Huntelaar,14
102,Miroslav Klose,14
103,Adriano,14
104,Kostas Mitroglou,14
105,Ronaldo,14
106,Robert Pirès,14
107,David Villa,14
108,Zinédine Zidane,14
109,Dimitar Berbatov,13
110,Kingsley Coman,13
111,Peter Crouch,13
112,Sonny Anderson,13
113,Deco,13
114,Carsten Jancker,13
115,Jan Koller,13
116,Fredrik Ljungberg,13
117,Jackson Martínez,13
118,Lukas Podolski,13
119,Alexis Sánchez,13
120,Hakan Şükür,13
121,Carlos Tévez,13
122,Burak Yılmaz,13
123,Dani Alves,12
124,Philippe Coutinho,12
125,Radamel Falcao,12
126,Serge Gnabry,12
127,Mario Götze,12
128,Roy Keane,12
129,Walter Pandiani,12
130,Marcus Rashford,12
131,Mehmet Scholl,12
132,Bastian Schweinsteiger,12
133,Paulo Sérgio,12
134,Giovanni,12
135,Wesley Sneijder,12
136,Emmanuel Adebayor,11
137,Sávio,11
138,Harald Brattbakk,11
139,José Callejón,11
140,Óscar Cardozo,11
141,Michalis Konstantinou,11
142,Douglas Costa,11
143,Diego Costa,11
144,Kevin De Bruyne,11
145,Michael Essien,11
146,Alberto Gilardino,11
147,Jonas,11
148,Sidney Govou,11
149,Sébastien Haller,(11)
150,Xavi Hernández,11
151,Andrés Iniesta,11
152,Lorenzo Insigne,11
153,Toni Kroos,11
154,Claudio López,11
155,Michael Owen,11
156,Mesut Özil,11
157,Christian Panucci,11
158,Miralem Pjanić,11
159,Tomáš Rosický,11
160,Clarence Seedorf,11
161,Maksim Shatskikh,11
162,Dejan Stanković,11
163,Roar Strand,11
164,Alex Teixeira,11
165,Jon Dahl Tomasson,11
166,George Weah,11
167,Dwight Yorke,11
168,Zlatko Zahovič,11
169,Ricardo Quaresma,10
170,Wissam Ben Yedder,10
171,Jefferson Farfán,10
172,Luis García,10
173,İlkay Gündoğan,10
174,David Silva,10
175,Joshua Kimmich,10
176,Bernardo Silva,10
177,Saúl Ñíguez,10
178,Ivica Olić,10
179,Ivan Rakitić,10
180,Dušan Tadić,10
181,John Terry,10
182,Christian Vieri,10
183,Mirko Vučinić,10
